PS D:\CS780\CS780-OBELIX-main\CS780-OBELIX-main> python train_d3qn_per.py --episodes 6000 --difficulty 2 --wall_obstacles --resume weights_d3qn.pth 
Device: cuda
Resumed from weights_d3qn.pth

Training D3QN-PER | episodes=6000 | walls=ON | difficulty=2
======================================================================
Ep    25/6000 | steps=   25000 | mean_r=  -5422.0 | success=  0.0% | loss=0.1287 | eps=0.498 | beta=0.403 | stuck=  22.2
Ep  1625/6000 | steps= 1610119 | mean_r= -58466.5 | success=  0.0% | loss=0.2307 | eps=0.371 | beta=0.593 | stuck= 287.4
Ep  1650/6000 | steps= 1633658 | mean_r= -73053.9 | success= 12.0% | loss=0.2374 | eps=0.369 | beta=0.596 | stuck= 362.0
Ep  1675/6000 | steps= 1655952 | mean_r= -45031.0 | success= 16.0% | loss=0.2324 | eps=0.368 | beta=0.599 | stuck= 222.5
Ep  1700/6000 | steps= 1678741 | mean_r= -30943.9 | success= 12.0% | loss=0.2265 | eps=0.366 | beta=0.601 | stuck= 151.6
Ep  1725/6000 | steps= 1703532 | mean_r= -28432.3 | success=  4.0% | loss=0.2127 | eps=0.364 | beta=0.604 | stuck= 137.8
Ep  1750/6000 | steps= 1727647 | mean_r= -51510.6 | success=  4.0% | loss=0.2039 | eps=0.362 | beta=0.607 | stuck= 253.3
Ep  1775/6000 | steps= 1751786 | mean_r= -62726.6 | success=  4.0% | loss=0.1900 | eps=0.360 | beta=0.610 | stuck= 309.4
Ep  1800/6000 | steps= 1776786 | mean_r= -63106.4 | success=  0.0% | loss=0.1849 | eps=0.358 | beta=0.613 | stuck= 310.7
Ep  1825/6000 | steps= 1801370 | mean_r= -38859.0 | success=  4.0% | loss=0.1722 | eps=0.356 | beta=0.616 | stuck= 190.0
Ep  1850/6000 | steps= 1826273 | mean_r= -48293.0 | success=  4.0% | loss=0.1607 | eps=0.354 | beta=0.619 | stuck= 237.0
Ep  1875/6000 | steps= 1850588 | mean_r= -37117.4 | success=  4.0% | loss=0.1542 | eps=0.352 | beta=0.622 | stuck= 181.3
Ep  1900/6000 | steps= 1873867 | mean_r= -30791.7 | success=  8.0% | loss=0.1433 | eps=0.350 | beta=0.625 | stuck= 150.3
