PS D:\IITK SEM 4\CS780-OBELIX-main> python train_d3qn_per.py --episodes 10000 --wall_obstacles --resume weights_d3qn_final.pth
Device: cpu
Resumed from weights_d3qn_final.pth

Training D3QN-PER | episodes=10000 | walls=ON | difficulty=3
======================================================================
Ep  2800/10000 | steps= 2578014 | mean_r= -42210.9 | success= 20.0% | loss=0.1023 | eps=0.710 | beta=0.593 | stuck= 178.8
Ep  2825/10000 | steps= 2601111 | mean_r= -39662.3 | success= 12.0% | loss=0.1201 | eps=0.707 | beta=0.595 | stuck= 160.2
Ep  2850/10000 | steps= 2625105 | mean_r= -37867.6 | success=  8.0% | loss=0.0914 | eps=0.705 | beta=0.597 | stuck= 152.0
Ep  2875/10000 | steps= 2648845 | mean_r= -44749.4 | success= 16.0% | loss=0.0904 | eps=0.702 | beta=0.599 | stuck= 189.8
Ep  2900/10000 | steps= 2672055 | mean_r= -39494.8 | success= 12.0% | loss=0.0873 | eps=0.699 | beta=0.600 | stuck= 153.6
Ep  2925/10000 | steps= 2696310 | mean_r= -39581.9 | success=  8.0% | loss=0.0852 | eps=0.697 | beta=0.602 | stuck= 158.7
Ep  2950/10000 | steps= 2720320 | mean_r= -35843.2 | success=  8.0% | loss=0.0823 | eps=0.694 | beta=0.604 | stuck= 145.2
Ep  2975/10000 | steps= 2742491 | mean_r= -35674.9 | success= 16.0% | loss=0.0797 | eps=0.691 | beta=0.606 | stuck= 139.8
Ep  3000/10000 | steps= 2766697 | mean_r= -41533.0 | success=  8.0% | loss=0.0777 | eps=0.689 | beta=0.608 | stuck= 162.5
Ep  3025/10000 | steps= 2788061 | mean_r= -21904.4 | success= 28.0% | loss=0.0749 | eps=0.686 | beta=0.609 | stuck=  76.7
Ep  3050/10000 | steps= 2811681 | mean_r= -32970.9 | success= 16.0% | loss=0.0746 | eps=0.684 | beta=0.611 | stuck= 121.8
Ep  3075/10000 | steps= 2833937 | mean_r= -26443.3 | success= 24.0% | loss=0.0703 | eps=0.681 | beta=0.613 | stuck=  96.0
Ep  3100/10000 | steps= 2856918 | mean_r= -33416.7 | success= 16.0% | loss=0.0684 | eps=0.679 | beta=0.614 | stuck= 134.8
Ep  3125/10000 | steps= 2879895 | mean_r= -40556.1 | success= 12.0% | loss=0.0668 | eps=0.676 | beta=0.616 | stuck= 168.4
Ep  3150/10000 | steps= 2903773 | mean_r= -30011.5 | success= 16.0% | loss=0.0649 | eps=0.673 | beta=0.618 | stuck= 109.9
Ep  3175/10000 | steps= 2926665 | mean_r= -28468.9 | success= 20.0% | loss=0.0620 | eps=0.671 | beta=0.619 | stuck=  98.6
Ep  3200/10000 | steps= 2951665 | mean_r= -32393.0 | success=  0.0% | loss=0.0622 | eps=0.668 | beta=0.621 | stuck= 116.2
Ep  3225/10000 | steps= 2975591 | mean_r= -36428.2 | success= 16.0% | loss=0.0602 | eps=0.665 | beta=0.623 | stuck= 138.6
Ep  3250/10000 | steps= 2997977 | mean_r= -30583.4 | success= 20.0% | loss=0.0590 | eps=0.663 | beta=0.625 | stuck= 110.2
Ep  3275/10000 | steps= 3019482 | mean_r= -25755.8 | success= 24.0% | loss=0.0827 | eps=0.660 | beta=0.626 | stuck=  95.0
Ep  3300/10000 | steps= 3042821 | mean_r= -38843.9 | success= 12.0% | loss=0.0762 | eps=0.658 | beta=0.628 | stuck= 155.2
Ep  3325/10000 | steps= 3065671 | mean_r= -30535.5 | success= 24.0% | loss=0.0541 | eps=0.655 | beta=0.630 | stuck= 117.7
Ep  3350/10000 | steps= 3088180 | mean_r= -27451.7 | success= 20.0% | loss=0.0559 | eps=0.653 | beta=0.632 | stuck= 100.3
Ep  3375/10000 | steps= 3111868 | mean_r= -32103.7 | success= 16.0% | loss=0.0517 | eps=0.650 | beta=0.633 | stuck= 125.8
Ep  3400/10000 | steps= 3135659 | mean_r= -20157.8 | success= 16.0% | loss=0.0511 | eps=0.647 | beta=0.635 | stuck=  65.0
Ep  3425/10000 | steps= 3160330 | mean_r= -36552.3 | success=  8.0% | loss=0.0503 | eps=0.644 | beta=0.637 | stuck= 139.8
Ep  3450/10000 | steps= 3182816 | mean_r= -22074.4 | success= 20.0% | loss=0.0487 | eps=0.642 | beta=0.639 | stuck=  66.6
Ep  3475/10000 | steps= 3207165 | mean_r= -28732.2 | success=  8.0% | loss=0.0656 | eps=0.639 | beta=0.641 | stuck=  98.5
Ep  3500/10000 | steps= 3232139 | mean_r= -36479.7 | success=  4.0% | loss=0.0458 | eps=0.636 | beta=0.642 | stuck= 129.9
Ep  3525/10000 | steps= 3253430 | mean_r= -25792.1 | success= 20.0% | loss=0.0436 | eps=0.634 | beta=0.644 | stuck=  96.0
